id_str,from_user,created_at,time,user_lang,,,,,,
9.40282086707081E+017,ekrem_duzce,Mon Dec 11 18:08:13 +0000 2017,11/12/2017 18:08:13,tr,,,,,,
9.40282081967518E+017,Imfurkn,Mon Dec 11 18:08:12 +0000 2017,11/12/2017 18:08:12,tr,,,,,,
9.40282081845957E+017,besiktas390,Mon Dec 11 18:08:12 +0000 2017,11/12/2017 18:08:12,fr,,,,,,
9.40282079664918E+017,kartalcan84,Mon Dec 11 18:08:12 +0000 2017,11/12/2017 18:08:12,tr,,,,,,
9.40282078272377E+017,andrefcpereira,Mon Dec 11 18:08:11 +0000 2017,11/12/2017 18:08:11,pt,,,,,,
9.40282076410114E+017,__sintim,Mon Dec 11 18:08:11 +0000 2017,11/12/2017 18:08:11,en,,,,,,
9.40282071632831E+017,DinamikBasketci,Mon Dec 11 18:08:10 +0000 2017,11/12/2017 18:08:10,tr,,,,,,
9.40282071049699E+017,AtakanSeverr,Mon Dec 11 18:08:09 +0000 2017,11/12/2017 18:08:09,tr,,,,,,
9.40282062828966E+017,ekrem_duzce,Mon Dec 11 18:08:08 +0000 2017,11/12/2017 18:08:08,tr,,,,,,
9.40282060068987E+017,qxyyum_,Mon Dec 11 18:08:07 +0000 2017,11/12/2017 18:08:07,en,,,,,,
9.40282059528032E+017,SSarbass,Mon Dec 11 18:08:07 +0000 2017,11/12/2017 18:08:07,tr,,,,,,
9.40282058412307E+017,jem20501,Mon Dec 11 18:08:06 +0000 2017,11/12/2017 18:08:06,ar,,,,,,
9.40282054448763E+017,m_furkanbirgul,Mon Dec 11 18:08:06 +0000 2017,11/12/2017 18:08:06,tr,,,,,,
